# t (s)	mx ()	my ()	mz ()
4.140004431124603e-09	0.9972521	-0.00011839014	6.925715e-06
4.150006258593873e-09	0.9972521	-0.00011303521	-1.2412107e-05
4.160008272975108e-09	0.9972521	-8.096674e-05	-2.6408488e-05
4.170010134086928e-09	0.9972522	-3.046478e-05	-3.5533318e-05
4.1800120215177766e-09	0.9972522	2.6559443e-05	-3.4602836e-05
4.19001393165445e-09	0.9972522	7.7050194e-05	-2.7157716e-05
4.200015934113479e-09	0.9972522	0.000108973756	-1.1366419e-05
4.210017776067762e-09	0.9972522	0.000114092145	5.9513536e-06
4.2200196661122685e-09	0.9972522	9.0101435e-05	2.3905033e-05
4.230021636464778e-09	0.9972522	4.2183678e-05	3.4438708e-05
4.240023580122832e-09	0.9972521	-1.7768758e-05	3.7656653e-05
4.250025465783773e-09	0.9972521	-7.365572e-05	2.9020515e-05
4.260027304145227e-09	0.9972521	-0.000109890316	1.3900209e-05
4.27000063740683e-09	0.99725217	-0.00011603134	-6.6744046e-06
4.280002527875822e-09	0.9972521	-9.0433954e-05	-2.3674971e-05
4.290004419400461e-09	0.9972521	-4.060101e-05	-3.539132e-05
4.300006287671457e-09	0.99725217	1.8877121e-05	-3.546121e-05
4.31000829631592e-09	0.9972522	7.1234936e-05	-2.7465521e-05
4.320010189417112e-09	0.9972522	0.000102505415	-1.09449e-05
4.330012045107135e-09	0.9972522	0.00010559413	5.9968906e-06
4.340013979308461e-09	0.9972522	8.146928e-05	2.1950067e-05
4.35001595465947e-09	0.9972522	3.815307e-05	2.9891939e-05
4.360017871543244e-09	0.9972521	-1.2426567e-05	3.1597727e-05
4.370019689257212e-09	0.9972521	-5.7646415e-05	2.4104354e-05
4.380021679595091e-09	0.9972521	-8.7325556e-05	1.2837271e-05
4.390023580598908e-09	0.9972521	-9.530907e-05	-2.6035495e-06
4.400025470719502e-09	0.9972521	-8.045119e-05	-1.5571297e-05
4.410027343466071e-09	0.9972521	-4.6343786e-05	-2.6386759e-05
4.420000653381371e-09	0.99725217	-1.0239903e-06	-2.937119e-05
4.4300025567095e-09	0.9972521	4.5149784e-05	-2.6783107e-05
4.440004416237384e-09	0.9972522	8.055754e-05	-1.5769e-05
4.450006364502688e-09	0.9972522	9.577397e-05	-1.938122e-06
4.460008325761221e-09	0.9972521	8.5995125e-05	1.4336441e-05
4.470010207649764e-09	0.9972522	5.3114047e-05	2.5513304e-05
4.480012061367181e-09	0.99725217	5.5901196e-06	3.1407533e-05
4.4900140539798144e-09	0.9972521	-4.348864e-05	2.7117641e-05
4.50001596889156e-09	0.9972521	-8.039423e-05	1.6858317e-05
4.510017862883878e-09	0.99725217	-9.478846e-05	5.5903934e-07
4.520019717029382e-09	0.9972521	-8.313233e-05	-1.3992884e-05
4.530021738847997e-09	0.9972521	-4.9427956e-05	-2.5729782e-05
4.54002362720474e-09	0.9972521	-3.8870494e-06	-2.8556336e-05
4.550025475995985e-09	0.99725217	4.0679988e-05	-2.517417e-05
4.560027349308763e-09	0.9972522	7.2571114e-05	-1.399107e-05
4.5700007088267094e-09	0.9972522	8.4495055e-05	-1.4381716e-06
4.5800025741727515e-09	0.9972522	7.484117e-05	1.2230922e-05
4.590004448443842e-09	0.9972522	4.7359015e-05	2.071459e-05
4.60000640261354e-09	0.9972522	9.555053e-06	2.5353207e-05
4.610008361913598e-09	0.9972521	-2.92773e-05	2.2392942e-05
4.620010258156448e-09	0.99725217	-6.024988e-05	1.576232e-05
4.6300120908603256e-09	0.9972521	-7.635071e-05	3.9980705e-06
4.6400140982053945e-09	0.9972521	-7.390271e-05	-7.2461726e-06
4.65001598675997e-09	0.9972521	-5.3181084e-05	-1.8374967e-05
4.660017860476333e-09	0.9972521	-1.885935e-05	-2.3627996e-05
4.670019722357113e-09	0.9972522	2.085828e-05	-2.4445313e-05
4.680021728727396e-09	0.9972522	5.5738423e-05	-1.7358749e-05
4.690023612521816e-09	0.9972522	7.6333345e-05	-6.9560824e-06
4.700025477305468e-09	0.9972522	7.6586526e-05	6.9886796e-06
4.710027408788734e-09	0.9972522	5.6108216e-05	1.7663504e-05
4.720000720939667e-09	0.9972522	2.0515596e-05	2.490699e-05
4.7300026333450385e-09	0.99725217	-2.0316591e-05	2.3768327e-05
4.740004469230887e-09	0.9972521	-5.4838925e-05	1.7542947e-05
4.7500064527387395e-09	0.9972521	-7.35889e-05	5.2775595e-06
4.760008369277274e-09	0.9972521	-7.204665e-05	-6.5164595e-06
4.7700102483036625e-09	0.9972522	-5.154487e-05	-1.7439463e-05
4.7800121084324936e-09	0.9972521	-1.8620764e-05	-2.1824924e-05
4.790014097429623e-09	0.9972522	1.7473978e-05	-2.178992e-05
4.800015982350659e-09	0.9972522	4.7385292e-05	-1.4917042e-05
4.8100178518929495e-09	0.9972522	6.4221706e-05	-6.1877777e-06
4.820019791848103e-09	0.9972522	6.4708205e-05	4.993068e-06
